School Code,School,Attendance Year,School Type,School Category,Remoteness Area,Region,Local Government Area,State Electorate,FTE Days Attended,Possible Attendance Days,Attendance Rate,Official Low Year Level,Official High Year Level,Suburb,Post Code,All Student Count,Longitude,Latitude
1983,Agnes Water State School,2019,State School,Primary,Outer Regional Australia,North Coast,Gladstone (R),Burnett,18375.5,20283.0,90.6,Prep Year,Year 6,Agnes Water,4677,222.0,151.91056,-24.213972
598,Airville State School,2015,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,2426.5,2511.0,96.6,Prep Year,Year 6,Airville,4807,11.0,147.347629,-19.65519
598,Airville State School,2016,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,2134.0,2242.0,95.2,Prep Year,Year 6,Airville,4807,11.0,147.347629,-19.65519
598,Airville State School,2017,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,1990.5,2115.0,94.1,Prep Year,Year 6,Airville,4807,11.0,147.347629,-19.65519
598,Airville State School,2018,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,922.0,963.0,95.7,Prep Year,Year 6,Airville,4807,11.0,147.347629,-19.65519
598,Airville State School,2019,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,844.0,898.0,94.0,Prep Year,Year 6,Airville,4807,11.0,147.347629,-19.65519
801,Aitkenvale State School,2015,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,36001.0,39542.0,91.0,Prep Year,Year 6,Aitkenvale,4814,524.0,146.763058,-19.296785
801,Aitkenvale State School,2016,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,36611.0,40312.0,90.8,Prep Year,Year 6,Aitkenvale,4814,524.0,146.763058,-19.296785
801,Aitkenvale State School,2017,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,40456.5,45093.5,89.7,Prep Year,Year 6,Aitkenvale,4814,524.0,146.763058,-19.296785
801,Aitkenvale State School,2018,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,41949.0,47241.5,88.8,Prep Year,Year 6,Aitkenvale,4814,524.0,146.763058,-19.296785
801,Aitkenvale State School,2019,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,41057.0,46787.5,87.8,Prep Year,Year 6,Aitkenvale,4814,524.0,146.763058,-19.296785
2155,Albany Creek State High School,2015,State High School,Secondary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,109580.5,118447.0,92.5,Year 7,Year 12,Albany Creek,4035,1367.0,152.968606,-27.357634
2155,Albany Creek State High School,2016,State High School,Secondary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,110629.0,119116.0,92.9,Year 7,Year 12,Albany Creek,4035,1367.0,152.968606,-27.357634
2155,Albany Creek State High School,2017,State High School,Secondary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,111520.5,119892.0,93.0,Year 7,Year 12,Albany Creek,4035,1367.0,152.968606,-27.357634
2155,Albany Creek State High School,2018,State High School,Secondary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,122135.0,132216.5,92.4,Year 7,Year 12,Albany Creek,4035,1367.0,152.968606,-27.357634
2155,Albany Creek State High School,2019,State High School,Secondary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,122534.5,133554.5,91.7,Year 7,Year 12,Albany Creek,4035,1367.0,152.968606,-27.357634
190,Albany Creek State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,71339.0,75327.0,94.7,Prep Year,Year 6,Albany Creek,4035,850.0,152.970666,-27.34586
190,Albany Creek State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,73178.0,77993.0,93.8,Prep Year,Year 6,Albany Creek,4035,850.0,152.970666,-27.34586
190,Albany Creek State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,75569.5,79940.0,94.5,Prep Year,Year 6,Albany Creek,4035,850.0,152.970666,-27.34586
190,Albany Creek State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,79768.0,84446.0,94.5,Prep Year,Year 6,Albany Creek,4035,850.0,152.970666,-27.34586
190,Albany Creek State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,76212.5,80948.5,94.1,Prep Year,Year 6,Albany Creek,4035,850.0,152.970666,-27.34586
1892,Albany Hills State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,71517.5,74990.0,95.4,Prep Year,Year 6,Albany Creek,4035,855.0,152.97278,-27.36034
1892,Albany Hills State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,72830.0,76286.0,95.5,Prep Year,Year 6,Albany Creek,4035,855.0,152.97278,-27.36034
1892,Albany Hills State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,73254.0,76757.0,95.4,Prep Year,Year 6,Albany Creek,4035,855.0,152.97278,-27.36034
1892,Albany Hills State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,78689.0,83056.0,94.7,Prep Year,Year 6,Albany Creek,4035,855.0,152.97278,-27.36034
1892,Albany Hills State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,76957.5,81699.0,94.2,Prep Year,Year 6,Albany Creek,4035,855.0,152.97278,-27.36034
38,Albert State School,2015,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,10474.5,11451.0,91.5,Prep Year,Year 6,Maryborough,4650,154.0,152.703888,-25.546785
38,Albert State School,2016,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,11245.5,12202.0,92.2,Prep Year,Year 6,Maryborough,4650,154.0,152.703888,-25.546785
38,Albert State School,2017,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,11975.5,13016.5,92.0,Prep Year,Year 6,Maryborough,4650,154.0,152.703888,-25.546785
38,Albert State School,2018,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,10755.5,11924.5,90.2,Prep Year,Year 6,Maryborough,4650,154.0,152.703888,-25.546785
38,Albert State School,2019,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,11940.0,13538.0,88.2,Prep Year,Year 6,Maryborough,4650,154.0,152.703888,-25.546785
2017,Aldridge State High School,2015,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,93926.0,104840.5,89.6,Year 7,Year 12,Maryborough,4650,926.0,152.688545,-25.516557
2017,Aldridge State High School,2016,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,93535.5,104763.5,89.3,Year 7,Year 12,Maryborough,4650,926.0,152.688545,-25.516557
2017,Aldridge State High School,2017,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,91900.0,101933.5,90.2,Year 7,Year 12,Maryborough,4650,926.0,152.688545,-25.516557
2017,Aldridge State High School,2018,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,91895.5,103038.5,89.2,Year 7,Year 12,Maryborough,4650,926.0,152.688545,-25.516557
2017,Aldridge State High School,2019,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,76592.0,88541.5,86.5,Year 7,Year 12,Maryborough,4650,926.0,152.688545,-25.516557
1963,Alexandra Bay State School,2015,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,3294.5,3845.0,85.7,Early Childhood,Year 6,Diwan,4873,27.0,145.42225,-16.213862
1963,Alexandra Bay State School,2016,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,3063.5,3317.0,92.4,Early Childhood,Year 6,Diwan,4873,27.0,145.42225,-16.213862
1963,Alexandra Bay State School,2017,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,2588.0,2884.0,89.7,Early Childhood,Year 6,Diwan,4873,27.0,145.42225,-16.213862
1963,Alexandra Bay State School,2018,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,2365.5,2678.0,88.3,Early Childhood,Year 6,Diwan,4873,27.0,145.42225,-16.213862
1963,Alexandra Bay State School,2019,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,2175.5,2449.0,88.8,Early Childhood,Year 6,Diwan,4873,27.0,145.42225,-16.213862
2175,Alexandra Hills State High School,2015,State High School,Secondary,Major Cities of Australia,South East,Redland (C),Capalaba,116078.0,128711.0,90.2,Year 7,Year 12,Alexandra Hills,4161,1469.0,153.215428,-27.523768
2175,Alexandra Hills State High School,2016,State High School,Secondary,Major Cities of Australia,South East,Redland (C),Capalaba,119247.5,130775.0,91.2,Year 7,Year 12,Alexandra Hills,4161,1469.0,153.215428,-27.523768
2175,Alexandra Hills State High School,2017,State High School,Secondary,Major Cities of Australia,South East,Redland (C),Capalaba,124938.0,137728.0,90.7,Year 7,Year 12,Alexandra Hills,4161,1469.0,153.215428,-27.523768
2175,Alexandra Hills State High School,2018,State High School,Secondary,Major Cities of Australia,South East,Redland (C),Capalaba,132641.5,147500.0,89.9,Year 7,Year 12,Alexandra Hills,4161,1469.0,153.215428,-27.523768
2175,Alexandra Hills State High School,2019,State High School,Secondary,Major Cities of Australia,South East,Redland (C),Capalaba,126852.5,142973.0,88.7,Year 7,Year 12,Alexandra Hills,4161,1469.0,153.215428,-27.523768
405,Alexandra Hills State School,2015,State School,Primary,Major Cities of Australia,South East,Redland (C),Capalaba,16279.5,18274.0,89.1,Prep Year,Year 6,Alexandra Hills,4161,180.0,153.221279,-27.518141
405,Alexandra Hills State School,2016,State School,Primary,Major Cities of Australia,South East,Redland (C),Capalaba,16977.0,18414.0,92.2,Prep Year,Year 6,Alexandra Hills,4161,180.0,153.221279,-27.518141
405,Alexandra Hills State School,2017,State School,Primary,Major Cities of Australia,South East,Redland (C),Capalaba,15521.0,17329.0,89.6,Prep Year,Year 6,Alexandra Hills,4161,180.0,153.221279,-27.518141
405,Alexandra Hills State School,2018,State School,Primary,Major Cities of Australia,South East,Redland (C),Capalaba,17502.5,19765.0,88.6,Prep Year,Year 6,Alexandra Hills,4161,180.0,153.221279,-27.518141
405,Alexandra Hills State School,2019,State School,Primary,Major Cities of Australia,South East,Redland (C),Capalaba,15547.0,17258.0,90.1,Prep Year,Year 6,Alexandra Hills,4161,180.0,153.221279,-27.518141
1866,Algester State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,91363.5,97439.0,93.8,Prep Year,Year 6,Algester,4115,991.0,153.031915,-27.615675
1866,Algester State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,86936.5,92665.0,93.8,Prep Year,Year 6,Algester,4115,991.0,153.031915,-27.615675
1866,Algester State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,86052.0,91713.0,93.8,Prep Year,Year 6,Algester,4115,991.0,153.031915,-27.615675
1866,Algester State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,91493.5,98062.0,93.3,Prep Year,Year 6,Algester,4115,991.0,153.031915,-27.615675
1866,Algester State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,88140.5,95790.5,92.0,Prep Year,Year 6,Algester,4115,991.0,153.031915,-27.615675
155,Allenstown State School,2015,State School,Primary,Inner Regional Australia,Central Queensland,Rockhampton (R),Rockhampton,29403.5,32371.0,90.8,Prep Year,Year 6,Allenstown,4700,389.0,150.502671,-23.391906
155,Allenstown State School,2016,State School,Primary,Inner Regional Australia,Central Queensland,Rockhampton (R),Rockhampton,31595.0,34533.0,91.5,Prep Year,Year 6,Allenstown,4700,389.0,150.502671,-23.391906
155,Allenstown State School,2017,State School,Primary,Inner Regional Australia,Central Queensland,Rockhampton (R),Rockhampton,31349.5,34671.0,90.4,Prep Year,Year 6,Allenstown,4700,389.0,150.502671,-23.391906
155,Allenstown State School,2018,State School,Primary,Inner Regional Australia,Central Queensland,Rockhampton (R),Rockhampton,34228.5,38028.0,90.0,Prep Year,Year 6,Allenstown,4700,389.0,150.502671,-23.391906
155,Allenstown State School,2019,State School,Primary,Inner Regional Australia,Central Queensland,Rockhampton (R),Rockhampton,33328.5,36888.0,90.4,Prep Year,Year 6,Allenstown,4700,389.0,150.502671,-23.391906
773,Alligator Creek State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,28745.5,30921.0,93.0,Prep Year,Year 6,Alligator Creek,4740,329.0,149.211559,-21.329398
773,Alligator Creek State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,28856.5,31135.0,92.7,Prep Year,Year 6,Alligator Creek,4740,329.0,149.211559,-21.329398
773,Alligator Creek State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,27025.5,28735.0,94.1,Prep Year,Year 6,Alligator Creek,4740,329.0,149.211559,-21.329398
773,Alligator Creek State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,28927.0,30928.5,93.5,Prep Year,Year 6,Alligator Creek,4740,329.0,149.211559,-21.329398
773,Alligator Creek State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,28855.0,30968.5,93.2,Prep Year,Year 6,Alligator Creek,4740,329.0,149.211559,-21.329398
3,Allora P-10 State School,2015,State School,Combined,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,20666.0,22392.0,92.3,Prep Year,Year 10,Allora,4362,215.0,151.986183,-28.036194
3,Allora P-10 State School,2016,State School,Combined,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,20005.5,21763.0,91.9,Prep Year,Year 10,Allora,4362,215.0,151.986183,-28.036194
3,Allora P-10 State School,2017,State School,Combined,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,20345.5,22525.0,90.3,Prep Year,Year 10,Allora,4362,215.0,151.986183,-28.036194
3,Allora P-10 State School,2018,State School,Combined,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,20425.5,22242.0,91.8,Prep Year,Year 10,Allora,4362,215.0,151.986183,-28.036194
3,Allora P-10 State School,2019,State School,Combined,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,18758.0,20445.0,91.7,Prep Year,Year 10,Allora,4362,215.0,151.986183,-28.036194
430,Alloway State School,2015,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,5187.5,5514.0,94.1,Prep Year,Year 6,Alloway,4670,32.0,152.378285,-24.952136
430,Alloway State School,2016,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,4720.5,5059.0,93.3,Prep Year,Year 6,Alloway,4670,32.0,152.378285,-24.952136
430,Alloway State School,2017,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,4344.0,4674.0,92.9,Prep Year,Year 6,Alloway,4670,32.0,152.378285,-24.952136
430,Alloway State School,2018,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,3966.5,4384.0,90.5,Prep Year,Year 6,Alloway,4670,32.0,152.378285,-24.952136
430,Alloway State School,2019,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,2750.5,3043.0,90.4,Prep Year,Year 6,Alloway,4670,32.0,152.378285,-24.952136
870,Aloomba State School,2015,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Mulgrave,8680.5,9035.0,96.1,Prep Year,Year 6,Aloomba,4871,87.0,145.831978,-17.10984
870,Aloomba State School,2016,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Mulgrave,8021.0,8299.0,96.7,Prep Year,Year 6,Aloomba,4871,87.0,145.831978,-17.10984
870,Aloomba State School,2017,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Mulgrave,7574.5,7837.0,96.7,Prep Year,Year 6,Aloomba,4871,87.0,145.831978,-17.10984
870,Aloomba State School,2018,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Mulgrave,8787.0,9099.0,96.6,Prep Year,Year 6,Aloomba,4871,87.0,145.831978,-17.10984
870,Aloomba State School,2019,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Mulgrave,7955.0,8321.0,95.6,Prep Year,Year 6,Aloomba,4871,87.0,145.831978,-17.10984
517,Alpha State School,2015,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,3978.0,4234.0,94.0,Prep Year,Year 10,Alpha,4724,43.0,146.642263,-23.650791
517,Alpha State School,2016,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,3809.0,4082.0,93.3,Prep Year,Year 10,Alpha,4724,43.0,146.642263,-23.650791
517,Alpha State School,2017,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,3089.5,3470.0,89.0,Prep Year,Year 10,Alpha,4724,43.0,146.642263,-23.650791
517,Alpha State School,2018,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,3365.0,3831.0,87.8,Prep Year,Year 10,Alpha,4724,43.0,146.642263,-23.650791
517,Alpha State School,2019,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,3223.0,3673.0,87.7,Prep Year,Year 10,Alpha,4724,43.0,146.642263,-23.650791
1719,Amamoor State School,2015,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,5077.0,5393.0,94.1,Prep Year,Year 6,Amamoor,4570,88.0,152.67315,-26.346411
1719,Amamoor State School,2016,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,5286.5,5670.0,93.2,Prep Year,Year 6,Amamoor,4570,88.0,152.67315,-26.346411
1719,Amamoor State School,2017,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,5937.5,6303.0,94.2,Prep Year,Year 6,Amamoor,4570,88.0,152.67315,-26.346411
1719,Amamoor State School,2018,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,6768.0,7329.0,92.3,Prep Year,Year 6,Amamoor,4570,88.0,152.67315,-26.346411
1719,Amamoor State School,2019,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,7594.0,8290.0,91.6,Prep Year,Year 6,Amamoor,4570,88.0,152.67315,-26.346411
115,Amberley District State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Ipswich (C),Ipswich West,72341.5,77499.0,93.3,Prep Year,Year 6,Yamanto,4305,861.0,152.750141,-27.65749
115,Amberley District State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Ipswich (C),Ipswich West,69760.5,74640.0,93.5,Prep Year,Year 6,Yamanto,4305,861.0,152.750141,-27.65749
115,Amberley District State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Ipswich (C),Ipswich West,70403.0,75394.0,93.4,Prep Year,Year 6,Yamanto,4305,861.0,152.750141,-27.65749
115,Amberley District State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Ipswich (C),Ipswich West,75410.0,80632.0,93.5,Prep Year,Year 6,Yamanto,4305,861.0,152.750141,-27.65749
115,Amberley District State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Ipswich (C),Ipswich West,75093.5,80810.5,92.9,Prep Year,Year 6,Yamanto,4305,861.0,152.750141,-27.65749
1415,Ambrose State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Gladstone (R),Gladstone,9056.0,9610.0,94.2,Prep Year,Year 6,Ambrose,4695,64.0,150.921893,-23.786492
1415,Ambrose State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Gladstone (R),Gladstone,8530.5,9098.0,93.8,Prep Year,Year 6,Ambrose,4695,64.0,150.921893,-23.786492
1415,Ambrose State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Gladstone (R),Gladstone,7681.5,8285.0,92.7,Prep Year,Year 6,Ambrose,4695,64.0,150.921893,-23.786492
1415,Ambrose State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Gladstone (R),Gladstone,7311.5,7830.0,93.4,Prep Year,Year 6,Ambrose,4695,64.0,150.921893,-23.786492
1415,Ambrose State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Gladstone (R),Gladstone,5993.5,6321.0,94.8,Prep Year,Year 6,Ambrose,4695,64.0,150.921893,-23.786492
1629,Amiens State School,2015,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,2958.0,3138.0,94.3,Prep Year,Year 6,Amiens,4380,38.0,151.812654,-28.594568
1629,Amiens State School,2016,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,3113.5,3277.0,95.0,Prep Year,Year 6,Amiens,4380,38.0,151.812654,-28.594568
1629,Amiens State School,2017,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,3492.5,3716.0,94.0,Prep Year,Year 6,Amiens,4380,38.0,151.812654,-28.594568
1629,Amiens State School,2018,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,3794.0,4066.0,93.3,Prep Year,Year 6,Amiens,4380,38.0,151.812654,-28.594568
1629,Amiens State School,2019,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,3201.5,3547.0,90.3,Prep Year,Year 6,Amiens,4380,38.0,151.812654,-28.594568
474,Anakie State School,2015,State School,Primary,Remote Australia,Central Queensland,Central Highlands (R),Gregory,8210.5,8831.0,93.0,Prep Year,Year 6,The Gemfields,4702,64.0,147.745856,-23.554011
474,Anakie State School,2016,State School,Primary,Remote Australia,Central Queensland,Central Highlands (R),Gregory,7089.5,7867.0,90.1,Prep Year,Year 6,The Gemfields,4702,64.0,147.745856,-23.554011
474,Anakie State School,2017,State School,Primary,Remote Australia,Central Queensland,Central Highlands (R),Gregory,7459.0,8012.0,93.1,Prep Year,Year 6,The Gemfields,4702,64.0,147.745856,-23.554011
474,Anakie State School,2018,State School,Primary,Remote Australia,Central Queensland,Central Highlands (R),Gregory,7397.0,8055.0,91.8,Prep Year,Year 6,The Gemfields,4702,64.0,147.745856,-23.554011
474,Anakie State School,2019,State School,Primary,Remote Australia,Central Queensland,Central Highlands (R),Gregory,5637.0,6093.0,92.5,Prep Year,Year 6,The Gemfields,4702,64.0,147.745856,-23.554011
1572,Andergrove State School,2015,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,30761.5,33315.0,92.3,Prep Year,Year 6,Andergrove,4740,339.0,149.188241,-21.086247
1572,Andergrove State School,2016,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,30706.0,32919.0,93.3,Prep Year,Year 6,Andergrove,4740,339.0,149.188241,-21.086247
1572,Andergrove State School,2017,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,30381.5,32587.0,93.2,Prep Year,Year 6,Andergrove,4740,339.0,149.188241,-21.086247
1572,Andergrove State School,2018,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,34125.5,36905.0,92.5,Prep Year,Year 6,Andergrove,4740,339.0,149.188241,-21.086247
1572,Andergrove State School,2019,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,29772.5,32821.5,90.7,Prep Year,Year 6,Andergrove,4740,339.0,149.188241,-21.086247
440,Annandale State School,2015,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,74276.5,78367.0,94.8,Prep Year,Year 6,Annandale,4814,841.0,146.778441,-19.315285
440,Annandale State School,2016,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,77700.0,82970.0,93.6,Prep Year,Year 6,Annandale,4814,841.0,146.778441,-19.315285
